No,Attainment in Chinese Language,Type,Attainment in English Language - 5**,Attainment in English Language - 5*,Attainment in English Language - 5,Attainment in English Language - 4,Attainment in English Language - 3,Attainment in English Language - 2,Attainment in English Language - 1,Attainment in English Language - U,Total
1,5**,Number,80,110,110,113,46,15,1,,475
2,5**,Percentage,0.2%,0.2%,0.2%,0.3%,0.1%,0.0%,0.0%,,1.1%
3,5*,Number,90,232,335,416,223,51,6,,1353
4,5*,Percentage,0.2%,0.5%,0.7%,0.9%,0.5%,0.1%,0.0%,,3.0%
5,5,Number,76,273,514,1050,635,206,17,2,2773
6,5,Percentage,0.2%,0.6%,1.1%,2.3%,1.4%,0.5%,0.0%,0.0%,6.2%
7,4,Number,127,411,1041,3343,3109,1445,237,21,9734
8,4,Percentage,0.3%,0.9%,2.3%,7.4%,6.9%,3.2%,0.5%,0.0%,21.7%
9,3,Number,46,181,469,2362,4100,3400,803,149,11510
10,3,Percentage,0.1%,0.4%,1.0%,5.3%,9.1%,7.6%,1.8%,0.3%,25.6%
11,2,Number,23,71,149,977,2807,5223,2781,856,12887
12,2,Percentage,0.1%,0.2%,0.3%,2.2%,6.2%,11.6%,6.2%,1.9%,28.7%
13,1,Number,1,5,13,79,325,1218,1680,1403,4724
14,1,Percentage,0.0%,0.0%,0.0%,0.2%,0.7%,2.7%,3.7%,3.1%,10.5%
15,U,Number,,1,7,22,43,142,304,962,1481
16,U,Percentage,,0.0%,0.0%,0.0%,0.1%,0.3%,0.7%,2.1%,3.3%
17,Total,Number,443,1284,2638,8362,11288,11700,5829,3393,44937
18,Total,Percentage,1.0%,2.9%,5.9%,18.6%,25.1%,26.0%,13.0%,7.6%,100.0%
